,,GRU,,,,WaveNet,,,
,,validity_ratio,proximity,compactness,step_validity_auc,validity_ratio,proximity,compactness,step_validity_auc
Ohio,hyper,0.945,0.193,0.264,0.783,0.955,0.159,0.758,0.790
,,0.867,0.349,0.558,0.706,0.900,0.251,0.844,0.746
,,0.675,0.347,0.808,0.526,0.718,0.192,0.935,0.569
,,0.585,0.173,0.910,0.459,0.658,0.150,0.955,0.521
,,,,,,,,,
,hypo,0.497,0.284,0.049,0.188,0.525,0.162,0.721,0.196
,,0.490,0.345,0.247,0.175,0.530,0.189,0.829,0.171
,,0.207,0.396,0.775,0.066,0.238,0.111,0.937,0.074
,,0.165,0.173,0.909,0.046,0.145,0.042,0.973,0.055
,,,,,,,,,
Simulated,hyper,0.984,0.056,0.368,0.853,0.964,0.117,0.889,0.823
,,0.858,0.108,0.776,0.758,0.873,0.095,0.935,0.720
,,0.732,0.117,0.935,0.624,0.727,0.009,0.999,0.457
,,0.726,0.116,0.935,0.618,0.727,0.008,0.999,0.457
,,,,,,,,,
,hypo,0.115,0.143,0.213,0.041,0.163,0.285,0.856,0.019
,,0.215,0.065,0.928,0.062,0.094,0.171,0.955,0.009
,,0.155,0.031,0.998,0.052,0.103,0.020,0.999,0.004
,,0.155,0.031,0.998,0.052,0.103,0.018,0.999,0.004
